James began Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.05764216], ['BUSINESS', 0.05738866], ['RELIGION AND SPIRITUALITY', 0.0559207], ['TRAVEL', 0.0552941], ['HEALTH AND FITNESS', 0.05261511]]","[['CATS', 0.3], ['PETS', 0.09]]",False,1,0,19:44:49.222523
James fought Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['BUSINESS', 0.05919575], ['PETS', 0.05775589], ['RELIGION AND SPIRITUALITY', 0.05714933], ['TRAVEL', 0.05580841], ['HOBBIES AND INTERESTS', 0.05221456]]","[['CATS', 0.29], ['PETS', 0.09]]",False,2,0,19:44:52.293694
James began Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.05764216], ['BUSINESS', 0.05738866], ['RELIGION AND SPIRITUALITY', 0.0559207], ['TRAVEL', 0.0552941], ['HEALTH AND FITNESS', 0.05261511]]","[['CATS', 0.3], ['PETS', 0.09]]",False,2,0,19:44:56.065988
James began Stephen on a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.05764216], ['BUSINESS', 0.05738866], ['RELIGION AND SPIRITUALITY', 0.0559207], ['TRAVEL', 0.0552941], ['HEALTH AND FITNESS', 0.05261511]]","[['CATS', 0.3], ['PETS', 0.09]]",False,3,0,19:44:59.066820
James fought Stephen on a ship in an man with James by an cat with an tree with James outside Irene,"[['BUSINESS', 0.05919575], ['PETS', 0.05775589], ['RELIGION AND SPIRITUALITY', 0.05714933], ['TRAVEL', 0.05580841], ['HOBBIES AND INTERESTS', 0.05221456]]","[['CATS', 0.29], ['PETS', 0.09]]",False,4,0,19:45:01.999064
James fought Stephen on a country in an man with James by an cat with an tree with James outside Irene,"[['BUSINESS', 0.05791367], ['PETS', 0.05645689], ['RELIGION AND SPIRITUALITY', 0.05561617], ['TRAVEL', 0.05415414], ['EDUCATION', 0.05318592]]","[['CATS', 0.29], ['PETS', 0.09]]",False,5,0,19:45:04.976075
James fought Stephen on a country in a man with James by an cat with an tree with James outside Irene,"[['BUSINESS', 0.05791367], ['PETS', 0.05645689], ['RELIGION AND SPIRITUALITY', 0.05561617], ['TRAVEL', 0.05415414], ['EDUCATION', 0.05318592]]","[['CATS', 0.29], ['PETS', 0.09]]",False,6,0,19:45:08.307321
James fought Stephen on a country in a man with James by my cat with an tree with James outside Irene,"[['PETS', 0.06160914], ['RELIGION AND SPIRITUALITY', 0.05709], ['TRAVEL', 0.05581829], ['BUSINESS', 0.05503474], ['HEALTH AND FITNESS', 0.05404068]]","[['CATS', 0.29], ['PETS', 0.09]]",False,7,0,19:45:11.595599
James fought Stephen on a country in a man with James by my cat with an cat with James outside Irene,"[['PETS', 0.0653525], ['RELIGION AND SPIRITUALITY', 0.05442152], ['TRAVEL', 0.0543366], ['HEALTH AND FITNESS', 0.05403954], ['EDUCATION', 0.05355272]]","[['CATS', 0.53], ['PETS', 0.15]]",False,8,0,19:45:15.825082
James fought Stephen on a country in a man with James on my cat with an cat with James outside Irene,"[['PETS', 0.0653525], ['RELIGION AND SPIRITUALITY', 0.05442152], ['TRAVEL', 0.0543366], ['HEALTH AND FITNESS', 0.05403954], ['EDUCATION', 0.05355272]]","[['CATS', 0.53], ['PETS', 0.15]]",False,9,0,19:45:18.944298
James fought Irene on a country in a man with James on my cat with an cat with James outside Irene,"[['PETS', 0.06447561], ['RELIGION AND SPIRITUALITY', 0.05426163], ['EDUCATION', 0.05416428], ['TRAVEL', 0.05348396], ['ARTS AND ENTERTAINMENT', 0.05100983]]","[['CATS', 0.47], ['PETS', 0.13]]",False,10,0,19:45:21.976297
James fought Irene on a country in a man with James on my cat with an cat with Stephen outside Irene,"[['PETS', 0.0653525], ['RELIGION AND SPIRITUALITY', 0.05442152], ['TRAVEL', 0.0543366], ['HEALTH AND FITNESS', 0.05403954], ['EDUCATION', 0.05355272]]","[['CATS', 0.5], ['PETS', 0.13]]",False,11,0,19:45:24.852789
