James heard Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.995816], ['SPORTS', 0.0031105], ['TRAVEL', 0.000389537], ['RELIGION AND SPIRITUALITY', 0.00019811], ['HOBBIES AND INTERESTS', 3.98603e-05]]","[['CATS', 0.3], ['PETS', 0.09]]",False,1,0,04:04:19.485726
James built Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.991108], ['SPORTS', 0.00643416], ['TRAVEL', 0.0015145], ['HOBBIES AND INTERESTS', 0.000149991], ['SCIENCE', 5.38467e-05]]","[['CATS', 0.3], ['PETS', 0.09]]",False,2,0,04:04:29.940119
James fought Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.995734], ['SPORTS', 0.00294421], ['TRAVEL', 0.000368713], ['HOBBIES AND INTERESTS', 0.00024856], ['NON STANDARD CONTENT', 0.000105487]]","[['CATS', 0.29], ['PETS', 0.09]]",False,3,0,04:04:39.765904
James began Stephen by a ship in an man with James by an cat with an tree with James outside Irene,"[['PETS', 0.992627], ['SPORTS', 0.00581637], ['TRAVEL', 0.000869991], ['RELIGION AND SPIRITUALITY', 4.88469e-05], ['HOBBIES AND INTERESTS', 4.85827e-05]]","[['CATS', 0.3], ['PETS', 0.09]]",False,4,0,04:04:50.208134
James began Stephen by a ship in an man with James by an cat with an tree with James outside I,"[['PETS', 0.992518], ['SPORTS', 0.00622563], ['TRAVEL', 0.000672961], ['HOBBIES AND INTERESTS', 5.15207e-05], ['RELIGION AND SPIRITUALITY', 2.54397e-05]]","[['CATS', 0.32], ['PETS', 0.1]]",False,5,0,04:04:59.731343
James began Irene by a ship in an man with James by an cat with an tree with James outside I,"[['PETS', 0.989284], ['SPORTS', 0.00885316], ['TRAVEL', 0.000874662], ['HOBBIES AND INTERESTS', 0.000127043], ['HEALTH AND FITNESS', 5.92282e-05]]","[['CATS', 0.31], ['PETS', 0.09]]",False,6,0,04:05:08.634226
James began Irene by an ship in an man with James by an cat with an tree with James outside I,"[['PETS', 0.961563], ['SPORTS', 0.0325804], ['TRAVEL', 0.00100439], ['HEALTH AND FITNESS', 0.000339161], ['HOBBIES AND INTERESTS', 0.000262903]]","[['CATS', 0.31], ['PETS', 0.09]]",False,7,0,04:05:19.193370
James began Irene by an ship in an man with Stephen by an cat with an tree with James outside I,"[['PETS', 0.958359], ['SPORTS', 0.0393944], ['TRAVEL', 0.000594912], ['RELIGION AND SPIRITUALITY', 0.000153164], ['HEALTH AND FITNESS', 0.000132123]]","[['CATS', 0.35], ['PETS', 0.1]]",False,8,0,04:05:29.631276
James began Irene by an ship in an man with Stephen by the cat with an tree with James outside I,"[['PETS', 0.999977], ['SPORTS', 2.22798e-05], ['TRAVEL', 2.71265e-07], ['HEALTH AND FITNESS', 1.25924e-07], ['RELIGION AND SPIRITUALITY', 6.17737e-08]]","[['CATS', 0.35], ['PETS', 0.1]]",False,9,0,04:05:39.887417
James began Irene in an ship in an man with Stephen by the cat with an tree with James outside I,"[['PETS', 0.999973], ['SPORTS', 2.54975e-05], ['TRAVEL', 2.61018e-07], ['HEALTH AND FITNESS', 1.52268e-07], ['RELIGION AND SPIRITUALITY', 6.72002e-08]]","[['CATS', 0.35], ['PETS', 0.1]]",False,10,0,04:05:49.087884
James began Irene in an ship in an man with Stephen by the cat outside an tree with James outside I,"[['PETS', 0.991717], ['SPORTS', 0.00785311], ['TRAVEL', 0.000136367], ['HEALTH AND FITNESS', 3.42534e-05], ['RELIGION AND SPIRITUALITY', 3.19327e-05]]","[['CATS', 0.35], ['PETS', 0.1]]",False,11,0,04:05:59.838874
James heard Irene in an ship in an man with Stephen by the cat outside an tree with James outside I,"[['PETS', 0.995481], ['SPORTS', 0.00408271], ['RELIGION AND SPIRITUALITY', 0.000138188], ['TRAVEL', 5.88757e-05], ['NON STANDARD CONTENT', 3.11498e-05]]","[['CATS', 0.35], ['PETS', 0.1]]",False,12,0,04:06:10.897959
James heard Stephen in an ship in an man with Stephen by the cat outside an tree with James outside I,"[['PETS', 0.995913], ['SPORTS', 0.00352661], ['RELIGION AND SPIRITUALITY', 0.000123215], ['TRAVEL', 6.66565e-05], ['NON STANDARD CONTENT', 6.21118e-05]]","[['CATS', 0.33], ['PETS', 0.09]]",False,13,0,04:06:21.649166
James heard Stephen in an ship in an man with Stephen by the cat outside an tree with I outside I,"[['PETS', 0.999495], ['RELIGION AND SPIRITUALITY', 9.45652e-05], ['NON STANDARD CONTENT', 5.98134e-05], ['TRAVEL', 5.53763e-05], ['HOBBIES AND INTERESTS', 4.06835e-05]]","[['CATS', 0.37], ['PETS', 0.1]]",False,14,0,04:06:31.787007
